cell_type,NGenes,direction,pval,padj,contrast,cluster
Astrocytes,195,Up,0.0233747692987204,0.221836001248976,C2_vs_None,C2
Oligodendrocyte precursor cells,223,Up,0.0420647603607016,0.221836001248976,C2_vs_None,C2
Excitatory neurons,251,Up,0.0543023988610277,0.221836001248976,C2_vs_None,C2
T-cells,156,Up,0.0607625983540971,0.221836001248976,C2_vs_None,C2
Endothelial,260,Up,0.0616211114580488,0.221836001248976,C2_vs_None,C2
Oligodendrocytes,168,Up,0.0924970435146226,0.254885853599841,C2_vs_None,C2
Inhibitory neurons,257,Up,0.115978859705686,0.254885853599841,C2_vs_None,C2
Pericytes,91,Up,0.117013753263862,0.254885853599841,C2_vs_None,C2
NK-cells,145,Up,0.127664984566953,0.254885853599841,C2_vs_None,C2
Smooth muscle,138,Up,0.141603251999911,0.254885853599841,C2_vs_None,C2
Microglial cells,197,Up,0.226860210678419,0.371225799291958,C2_vs_None,C2
Plasma cells,118,Up,0.575575892477619,0.768731195076561,C2_vs_None,C2
Fibroblasts,79,Up,0.581979748260898,0.768731195076561,C2_vs_None,C2
Macrophages,247,Up,0.597902040615103,0.768731195076561,C2_vs_None,C2
monocytes,193,Up,0.649098342050515,0.778918010460618,C2_vs_None,C2
dendritic cells,128,Up,0.883662359466351,0.930343591718321,C2_vs_None,C2
B-cells,122,Down,0.896577844997556,0.930343591718321,C2_vs_None,C2
granulocytes,121,Up,0.930343591718321,0.930343591718321,C2_vs_None,C2
