protein,female_importance,male_importance
mog,0.746136053360693,0
klk6,0.457181058669407,0
cst5,0.238086531649378,0.456365207974693
hexim1,0,0.409593935001416
ilkap,0,0.408375720219333
itgav,0.321981732747864,0
thy1,0.26821003907662,0
omg,0.264399834935567,0.177255218692051
prnd,0,0.251229487073648
got1,0,0.247856758855141
mepe,0.245253699478604,0
lilrb4,0.241887822253621,0
snap25,0.234285776093394,0
mxra8,0.226119807632743,0
lhb,0,0.223560206272468
tnxb,0.21887674438772,0
nefl,0.214170743362301,0.0461605495295877
gzma,0.0594670723944296,0.212754270426574
nid1,0,0.206988595804085
cda,0.195953025690802,0.139237184198456
itgam,0.0442051607715514,0.189351039818175
ca6,0.0918970636312925,0.18482553703949
obp2b,0.176270565920187,0
tf,0.168935555758516,0
comp,0.162448947327945,0
mstn,0.153782068878922,0
il17rb,0.153465626864084,0
clec4m,0.149366624384469,0
chga,0.149347242972012,0
rgma,0.14914830262124,0
elob,0,0.145640452154469
gfap,0.142935004141843,0.00936876226112337
ache,0.139064999845209,0
ctsf,0.135338772083578,0
egfl7,0,0.133214331631264
ca14,0.133108873634306,0.0810100510345094
rnf149,0,0.121523674062825
tgfa,0,0.120483376921503
cd8a,0.11855134201872,0
clec4a,0.115464245332651,0
chad,0.107227223739298,0
mertk,0.103968329123413,0
c4bpb,0,0.093528639031072
wif1,0.090910637140677,0
itgb5,0.0862945224325092,0
col15a1,0.0860881605133283,0
ada,0,0.075683120510322
pla2g15,0.0690052548731974,0
fap,0.067060792463809,0
tbc1d23,0,0.066150532106661
robo1,0.0640156633631641,0
itga11,0.0618027626158495,0
itga2,0.0615374638680582,0
tnfsf13,0,0.0469551154241626
ifit3,0.0351141571763786,0
il15,0.030981976384356,0
enpp5,0,0.0295866310914328
pi3,0,0.0259543683248285
igsf21,0,0.024462990520422
chrdl2,0.00526061632621879,0.0190458466280301
pepd,0,0.0173114138610208
cbln4,0.0134329713343578,0
bag3,0,0.00950520862323204
lgals9,0.00497697222733656,0
gpc1,0.00043481894621857,0
bcan,8.27577345330127e-05,0
ret,3.54602382038639e-05,0
