protein,female_shap,male_shap
hexim1,0,0.351941915239989
cst5,0.149970239859903,0.297824629892071
mog,0.289165518572685,0
ilkap,0,0.246818257540682
lhb,0,0.204812036321408
omg,0.196368529228031,0.136647067844092
klk6,0.150988143551442,0
obp2b,0.137622465935657,0
chga,0.137592113817889,0
ca6,0.0667546587750653,0.135031606765095
lilrb4,0.123858024390926,0
prnd,0,0.119005574089719
nefl,0.117356827719765,0.0254241900634799
snap25,0.108071845186901,0
got1,0,0.10392776118412
cda,0.0994580089921179,0.0685883308727107
il17rb,0.0909912644489503,0
mstn,0.0866224542572425,0
thy1,0.0857463388421136,0
nid1,0,0.0827219577445701
gzma,0.0234929399578461,0.0781725130720914
mxra8,0.0765073227261761,0
gfap,0.0758932125366448,0.00489642382409029
clec4m,0.0742849514233833,0
mepe,0.0703970968097508,0
itgam,0.0161440590625377,0.0671282617014451
tnxb,0.0656873687914037,0
tgfa,0,0.0656494819396116
itgav,0.0652511996284448,0
comp,0.065084155144859,0
cd8a,0.064201391290702,0
tbc1d23,0,0.0635320588445597
ctsf,0.0621388919206106,0
chad,0.0611314575385628,0
egfl7,0,0.0593686628559945
ca14,0.052737852178252,0.0356949733822179
rgma,0.0508022202929082,0
clec4a,0.0471769442077852,0
ache,0.0470071046400328,0
elob,0,0.0434880157849467
rnf149,0,0.0387097129379919
tf,0.0385611016945882,0
wif1,0.0368981407297834,0
c4bpb,0,0.0367369539115492
itgb5,0.0353927588869239,0
mertk,0.030401793265523,0
ada,0,0.0291068161425078
col15a1,0.0248303332123538,0
itga11,0.0244468266453734,0
fap,0.0216230456352942,0
itga2,0.0208324730117839,0
pla2g15,0.0197197972067176,0
robo1,0.0171958591134936,0
tnfsf13,0,0.0162071978654435
pi3,0,0.0157405137093985
enpp5,0,0.0139486979787722
ifit3,0.012917018880304,0
il15,0.0122471757634357,0
igsf21,0,0.0104504458983635
chrdl2,0.003592535554849,0.00974195810983734
cbln4,0.00458469933984878,0
pepd,0,0.00443801450429223
bag3,0,0.00422661828167585
lgals9,0.00208631850090858,0
gpc1,0.000136152202482474,0
bcan,3.29201638716443e-05,0
ret,1.66176974325267e-05,0
