gene_a,gene_b,combined_score
HSPB6,HSPA2,0.431
ITGAV,ITGAM,0.638
ITGAV,THBS4,0.913
ITGAV,ITGB2,0.99
MYOM2,CSRP3,0.42
MYOM2,MYOM3,0.462
MYOM2,NEFL,0.487
MYOM2,MB,0.502
MYOM2,CAPN3,0.514
MYOM2,MYLPF,0.533
MYOM2,ITGB2,0.533
MYOM2,ACTN2,0.744
MYOM2,TTN,0.913
CA3,MB,0.64
CD276,ITGAM,0.625
MYLPF,CAPN3,0.497
MYLPF,SORBS1,0.532
MYLPF,MB,0.595
MYLPF,TTN,0.71
MYLPF,MYBPC1,0.719
MYLPF,ACTN2,0.764
MYLPF,CSRP3,0.844
MYLPF,MYL3,0.899
CORO6,SORBS1,0.401
ART3,ACTN2,0.441
MB,MYL3,0.563
MB,ACTN2,0.565
MB,TTN,0.582
MB,MYBPC1,0.588
MB,CSRP3,0.687
ACTN2,ITGAM,0.414
ACTN2,MYOM3,0.416
ACTN2,NEFL,0.53
ACTN2,MYBPC1,0.605
ACTN2,MYL3,0.878
ACTN2,CSRP3,0.971
ACTN2,TTN,0.999
MYOM3,CSRP3,0.501
MYOM3,MYL3,0.531
CAPN3,ITGB2,0.447
CAPN3,TTN,0.998
ITGB2,ITGAM,0.999
MYBPC1,CSRP3,0.579
MYBPC1,MYL3,0.758
MYBPC1,TTN,0.801
CSRP3,MYL3,0.93
CSRP3,TTN,0.995
RBFOX3,NEFL,0.588
RBFOX3,ITGAM,0.649
TTN,MYL3,0.931
